Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1980s,1986,West End Girls - 2018 Remaster,Pet Shop Boys,"synthpop, new wave",76,4.77,False,0.0,0.0,0,0.0,0.0
1980s,2008,True - Single Edit,Spandau Ballet,"new wave, synthpop",70,5.49,False,0.0,0.0,0,0.0,0.0
1980s,1987,Is This Love - 2018 Remaster,Whitesnake,"glam metal, glam rock, hard rock",73,4.74,False,0.393,0.538,309,33.66,65.17
1980s,2001,Don't Stop Believin',Journey,"aor, classic rock",76,4.15,False,0.166,0.402,190,46.32,45.8
1980s,1985,Easy Lover,Philip Bailey,yacht rock,69,5.08,False,0.24,0.634,456,17.98,89.85
1980s,1984,Like a Virgin,Madonna,,71,3.64,False,0.222,0.498,240,40.42,65.87
1980s,1981,I Love Rock 'N Roll,Joan Jett & the Blackhearts,rock,78,2.92,False,0.341,0.463,347,22.77,118.85
1980s,1983,Break My Stride,Matthew Wilder,,74,3.07,False,-0.172,0.41,391,24.55,127.17
1980s,1987,Nothing's Gonna Stop Us Now,Starship,,84,4.51,False,0.148,0.59,465,23.44,103.21
1980s,1985,Conga!,Miami Sound Machine,,68,4.23,False,0.217,0.517,347,23.05,81.97
1980s,1988,Fast Car,Tracy Chapman,,82,4.95,False,0.152,0.598,523,35.76,105.73
1980s,1986,Master Of Puppets,Metallica,"metal, thrash metal, rock, heavy metal, hard rock",80,8.59,False,0.279,0.533,349,32.95,40.63
1980s,2021,Physical - Remastered 2021,Olivia Newton-John,,65,3.77,False,0.033,0.262,311,26.69,82.57
1980s,1985,Money For Nothing - Remastered 1996,Dire Straits,classic rock,77,8.42,True,0.0,0.0,0,0.0,0.0
1980s,1989,Karma Chameleon,Culture Club,,64,4.04,False,0.151,0.435,340,21.47,84.23
1980s,1981,Don't You Want Me,The Human League,"new wave, synthpop",79,3.95,False,0.144,0.458,412,26.7,104.34
1990s,1998,Believe,Cher,,80,3.98,False,0.316,0.547,374,21.39,93.88
1990s,1998,Iris,The Goo Goo Dolls,,93,4.83,False,-0.173,0.362,271,28.04,56.16
1990s,1996,Lovefool,The Cardigans,swedish pop,83,3.23,False,0.388,0.586,309,26.54,95.59
1990s,1995,Wonderwall - Remastered,Oasis,"britpop, madchester",72,4.31,False,0.0,0.0,0,0.0,0.0
1990s,2009,Vogue,Madonna,,69,5.28,False,0.219,0.521,459,33.33,86.93
1990s,1995,Ironic - 2015 Remaster,Alanis Morissette,,73,3.83,False,0.0,0.0,0,0.0,0.0
1990s,1997,Torn,Natalie Imbruglia,,80,4.08,False,0.029,0.637,361,33.24,88.53
1990s,1997,Man! I Feel Like A Woman!,Shania Twain,country,72,3.91,False,0.115,0.456,363,28.1,92.88
1990s,1996,"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,variété française,77,4.56,False,0.412,0.577,472,24.15,103.48
1990s,1990,Nothing Compares 2 U,Sinéad O'Connor,,76,4.67,False,0.106,0.649,215,49.3,46.06
1990s,1999,Genie In a Bottle,Christina Aguilera,,81,3.63,False,0.207,0.542,580,18.79,159.95
1990s,1999,...Baby One More Time,Britney Spears,pop,83,3.52,False,0.411,0.629,332,21.08,94.38
1990s,1997,Bailando,Paradisio,"eurodance, europop",69,3.82,False,0.0,0.0,194,21.13,50.76
1990s,1997,Bitter Sweet Symphony - Remastered 2016,The Verve,"britpop, shoegaze",85,5.95,False,0.0,0.0,0,0.0,0.0
1990s,1997,Around the World,Daft Punk,"french house, electronic, electro",76,7.16,False,0.0,0.0,240,1.25,33.52
