Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
1980s,1984,Radio Ga Ga - Remastered 2011,Queen,"classic rock, rock, glam rock",76,5.8,False,0.157,0.471,298,38.26,51.38,Missing Lyrics Only
1980s,1986,West End Girls - 2018 Remaster,Pet Shop Boys,"synthpop, new wave",76,4.77,False,-0.015,0.447,372,27.42,77.99,Missing Lyrics Only
1980s,2008,True - Single Edit,Spandau Ballet,"new wave, synthpop",70,5.49,False,0.283,0.564,406,20.2,73.95,Missing Lyrics Only
1980s,1984,Like a Virgin,Madonna,,71,3.64,False,0.222,0.498,240,40.42,65.87,Missing Genre Only
1980s,1983,Break My Stride,Matthew Wilder,,74,3.07,False,-0.172,0.41,391,24.55,127.17,Missing Genre Only
1980s,1987,Nothing's Gonna Stop Us Now,Starship,,84,4.51,False,0.148,0.59,465,23.44,103.21,Missing Genre Only
1980s,1985,Conga!,Miami Sound Machine,,68,4.23,False,0.217,0.517,347,23.05,81.97,Missing Genre Only
1980s,1988,Fast Car,Tracy Chapman,,82,4.95,False,0.152,0.598,523,35.76,105.73,Missing Genre Only
1980s,2021,Physical - Remastered 2021,Olivia Newton-John,,65,3.77,False,0.033,0.262,311,26.69,82.57,Missing Genre Only
1980s,1985,Money For Nothing - Remastered 1996,Dire Straits,classic rock,77,8.42,True,0.321,0.772,580,19.48,68.88,Missing Lyrics Only
1980s,1989,Karma Chameleon,Culture Club,,64,4.04,False,0.151,0.435,340,21.47,84.23,Missing Genre Only
1990s,1998,Believe,Cher,,80,3.98,False,0.316,0.547,374,21.39,93.88,Missing Genre Only
1990s,1998,Iris,The Goo Goo Dolls,,93,4.83,False,-0.173,0.362,271,28.04,56.16,Missing Genre Only
1990s,1995,Wonderwall - Remastered,Oasis,"britpop, madchester",72,4.31,False,0.257,0.398,314,27.07,72.85,Missing Lyrics Only
1990s,2009,Vogue,Madonna,,69,5.28,False,0.219,0.521,459,33.33,86.93,Missing Genre Only
1990s,1995,Ironic - 2015 Remaster,Alanis Morissette,,73,3.83,False,0.227,0.687,338,35.21,88.25,Both Missing
1990s,1997,Torn,Natalie Imbruglia,,80,4.08,False,0.029,0.637,361,33.24,88.53,Missing Genre Only
1990s,1990,Nothing Compares 2 U,Sinéad O'Connor,,76,4.67,False,0.106,0.649,215,49.3,46.06,Missing Genre Only
1990s,1999,Genie In a Bottle,Christina Aguilera,,81,3.63,False,0.207,0.542,580,18.79,159.95,Missing Genre Only
1990s,1997,Bitter Sweet Symphony - Remastered 2016,The Verve,"britpop, shoegaze",85,5.95,False,-0.045,0.435,492,18.7,82.69,Missing Lyrics Only
1990s,1991,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,,71,7.53,False,-0.137,0.496,319,36.99,42.36,Missing Genre Only
1990s,1989,Wicked Game,Chris Isaak,,85,4.82,False,0.15,0.745,295,21.02,61.23,Missing Genre Only
1990s,1999,Maria Maria (feat. The Product G&B),Santana,,73,4.37,False,0.234,0.389,405,35.31,92.76,Missing Genre Only
1990s,1995,Alright - 2015 Remaster,Supergrass,britpop,72,3.02,False,0.163,0.558,194,32.47,64.24,Missing Lyrics Only
1990s,1997,Kiss Me,Sixpence None The Richer,,85,3.48,False,-0.107,0.424,170,38.24,48.88,Missing Genre Only
1990s,1997,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,,79,3.76,False,0.18,0.466,259,32.82,68.96,Missing Genre Only
1990s,1995,Don't Speak,No Doubt,,81,4.39,False,0.462,0.6,339,26.84,77.17,Missing Genre Only
1990s,1995,They Don't Care About Us,Michael Jackson,,80,4.74,False,-0.077,0.402,611,26.35,128.94,Missing Genre Only
1990s,1999,Let's Get Loud,Jennifer Lopez,,69,3.99,False,0.078,0.634,638,18.5,159.9,Missing Genre Only
1990s,1997,Your Woman,White Town,,74,4.33,False,0.254,0.658,288,38.19,66.49,Missing Genre Only
1990s,1995,Earth Song,Michael Jackson,,72,6.77,False,-0.027,0.584,434,31.8,64.15,Missing Genre Only
1990s,1994,Zombie - 2025 Remastered,The Cranberries,,84,5.09,False,-0.04,0.305,177,36.16,34.77,Both Missing
1990s,1991,It Ain't Over 'Til It's Over,Lenny Kravitz,,81,4.04,False,0.35,0.425,284,21.48,70.23,Missing Genre Only
1990s,2025,Don't Look Back in Anger - Remastered,Oasis,"britpop, madchester",74,4.84,False,-0.253,0.253,310,36.13,64.05,Missing Lyrics Only
1990s,1997,Miami,Will Smith,,73,3.29,False,0.222,0.571,669,36.62,203.18,Missing Genre Only
1990s,1996,Wannabe,Spice Girls,,81,2.88,False,0.157,0.369,574,20.38,199.05,Missing Genre Only
1990s,2002,Missing - Todd Terry Remix / Radio Edit,Everything But The Girl,,60,3.92,False,0.017,0.371,304,30.26,77.55,Both Missing
1990s,1998,California Love - Original Version,2Pac,"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop",59,4.75,False,0.185,0.475,710,33.66,149.47,Missing Lyrics Only
1990s,1995,Just A Girl,No Doubt,,74,3.49,False,0.065,0.513,296,38.85,84.89,Missing Genre Only
1990s,1995,Lemon Tree,Fools Garden,,77,3.18,False,-0.066,0.341,327,33.33,102.71,Missing Genre Only
1990s,1991,Black or White,Michael Jackson,,74,4.27,False,-0.018,0.386,449,36.08,105.23,Missing Genre Only
1990s,1997,Song 2 - 2012 Remaster,Blur,"britpop, madchester, alternative rock",79,2.02,False,0.15,0.768,125,38.4,61.88,Missing Lyrics Only
1990s,1997,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy,"hip hop, east coast hip hop",69,5.11,False,0.016,0.47,639,32.86,125.05,Missing Lyrics Only
1990s,1997,Tubthumping,Chumbawamba,,72,4.65,False,-0.107,0.306,800,8.12,172.18,Missing Genre Only
1990s,1998,You Get What You Give,New Radicals,,81,5.01,False,0.075,0.512,458,36.68,91.36,Missing Genre Only
1990s,1993,Linger,The Cranberries,,86,4.58,False,-0.097,0.584,309,28.48,67.49,Missing Genre Only
1990s,1996,Cosmic Girl - Remastered 2013,Jamiroquai,acid jazz,72,4.07,False,0.182,0.662,330,40.3,81.08,Missing Lyrics Only
1990s,1999,Thank You,Dido,,79,3.64,False,0.122,0.392,262,38.17,71.99,Missing Genre Only
